q_offset,high_intensity,acs_admit_rate_per_1000,outcome,bh_ed_rate_per_1000,all_cause_mortality_per_100k_35_64,amenable_mortality_per_100k_35_64
-19,0,,amenable_mortality_per_100k_35_64,,,90.2199526885238
-19,1,,amenable_mortality_per_100k_35_64,,,89.85453840080886
-18,0,,amenable_mortality_per_100k_35_64,,,90.0248175105385
-18,1,,amenable_mortality_per_100k_35_64,,,89.82805475990703
-17,0,,amenable_mortality_per_100k_35_64,,,90.06882564552353
-17,1,,amenable_mortality_per_100k_35_64,,,90.35298343755287
-16,0,,amenable_mortality_per_100k_35_64,,,90.15598281688845
-16,1,,amenable_mortality_per_100k_35_64,,,90.1988455087661
-15,0,,amenable_mortality_per_100k_35_64,,,90.3026393923353
-15,1,,amenable_mortality_per_100k_35_64,,,90.02536385073927
-14,0,,amenable_mortality_per_100k_35_64,,,89.6444546405491
-14,1,,amenable_mortality_per_100k_35_64,,,88.69625490452117
-13,0,,amenable_mortality_per_100k_35_64,,,89.49109742939676
-13,1,,amenable_mortality_per_100k_35_64,,,89.05187307236461
-12,0,,amenable_mortality_per_100k_35_64,,,89.78202376342475
-12,1,,amenable_mortality_per_100k_35_64,,,90.26762287173752
-11,0,,amenable_mortality_per_100k_35_64,,,90.19865321179768
-11,1,,amenable_mortality_per_100k_35_64,,,89.292614907849
-10,0,,amenable_mortality_per_100k_35_64,,,89.9031981858372
-10,1,,amenable_mortality_per_100k_35_64,,,88.77821616774773
-9,0,,amenable_mortality_per_100k_35_64,,,89.59070930550713
-9,1,,amenable_mortality_per_100k_35_64,,,89.7615593730913
-8,0,,amenable_mortality_per_100k_35_64,,,90.3221907687666
-8,1,,amenable_mortality_per_100k_35_64,,,90.50768943277242
-7,0,,amenable_mortality_per_100k_35_64,,,89.38032267868515
-7,1,,amenable_mortality_per_100k_35_64,,,89.65212987944282
-6,0,,amenable_mortality_per_100k_35_64,,,89.09446758177356
-6,1,,amenable_mortality_per_100k_35_64,,,89.90838662938769
-5,0,,amenable_mortality_per_100k_35_64,,,90.44735920545666
-5,1,,amenable_mortality_per_100k_35_64,,,89.86565993411074
-4,0,,amenable_mortality_per_100k_35_64,,,90.72442430471428
-4,1,,amenable_mortality_per_100k_35_64,,,89.9717838908884
-3,0,,amenable_mortality_per_100k_35_64,,,90.25757590287668
-3,1,,amenable_mortality_per_100k_35_64,,,89.12868028866775
-2,0,,amenable_mortality_per_100k_35_64,,,89.70940236551024
-2,1,,amenable_mortality_per_100k_35_64,,,88.92612403423811
-1,0,,amenable_mortality_per_100k_35_64,,,90.47584840352496
-1,1,,amenable_mortality_per_100k_35_64,,,90.60192505088226
0,0,,amenable_mortality_per_100k_35_64,,,89.04355888558128
0,1,,amenable_mortality_per_100k_35_64,,,89.93907467705307
1,0,,amenable_mortality_per_100k_35_64,,,90.25000766293998
1,1,,amenable_mortality_per_100k_35_64,,,91.45332519453585
2,0,,amenable_mortality_per_100k_35_64,,,92.66438987951486
2,1,,amenable_mortality_per_100k_35_64,,,93.50181237116065
3,0,,amenable_mortality_per_100k_35_64,,,91.38671622171333
3,1,,amenable_mortality_per_100k_35_64,,,95.06704628847514
4,0,,amenable_mortality_per_100k_35_64,,,92.4894402523176
4,1,,amenable_mortality_per_100k_35_64,,,98.19875860350808
5,0,,amenable_mortality_per_100k_35_64,,,93.65236475343696
5,1,,amenable_mortality_per_100k_35_64,,,99.99344146090452
6,0,,amenable_mortality_per_100k_35_64,,,94.32589012566248
6,1,,amenable_mortality_per_100k_35_64,,,101.89113361605601
